ensembl_gene_id,symbol,gene_biotype,69_AM18_Cryo_MTB,70_AM18_Cryo_Media,71_AM21_MTB,72_AM21_Media,73_AM21_Cryo_MTB,74_AM21_Cryo_Media,AM18_AM_Media,AM18_AM_TB
ENSG00000185634,,protein_coding,-1.6444813580260023,-2.5915327826349865,-4.290550141283204,-3.9346956770976744,-4.29947829746092,-4.263649107139645,-2.6822916227031515,-2.160923726363523
ENSG00000185640,,protein_coding,3.8924596278322108,2.6436836790590452,3.854108101548678,1.846664036426985,2.7773372995899117,2.450596410526478,4.480459345851425,4.202481004499998
ENSG00000185650,,protein_coding,5.647511530319586,5.943742593985817,5.757936732709132,6.347234349857769,5.024702249157822,6.0182809198157985,5.797488641325948,5.729171626702017
ENSG00000185651,,protein_coding,5.773371156859896,6.021949758096219,5.883126995020215,6.347234349857769,5.959087736429014,5.9783340425546845,5.944460383849199,6.056630138036543
ENSG00000185658,,protein_coding,6.871781483207971,6.604044484115819,6.878748554509642,6.006351929242906,6.524684912283239,6.114645748772247,6.6021193937560465,6.515816954093903
ENSG00000185664,,protein_coding,-0.203908766640021,-4.176495283356143,-4.290550141283204,-1.6127675822103122,-0.8400466788236218,-4.263649107139645,-1.7892068266196635,-0.8072867717488227
ENSG00000185666,,protein_coding,-0.9924046614463092,0.46736090641858213,-0.5901104231421123,-3.9346956770976744,1.2551105542167182,-4.263649107139645,-1.582755949152237,-0.8072867717488227
ENSG00000185668,,protein_coding,-4.451836280083606,-4.176495283356143,-4.290550141283204,-2.3497331763765184,-4.29947829746092,-4.263649107139645,-1.7892068266196635,-2.5234938057482315
ENSG00000185669,,protein_coding,3.752734864165597,2.8347319720671114,3.3889299582222416,0.31323183634591106,4.498183228392841,0.9458042584893054,3.0840006427325664,1.2690641143812922
ENSG00000185670,,protein_coding,3.4369069688146525,3.0619094559689364,2.9286183791789573,3.24521341291726,2.7985537854996076,3.2677323533766676,2.9324182214120564,2.5578945210924235
ENSG00000185674,,protein_coding,-4.451836280083606,-4.176495283356143,0.23301181477380847,-3.9346956770976744,-4.29947829746092,-4.263649107139645,-2.319721543318443,-5.330848727805836
ENSG00000185697,,protein_coding,-0.05951885730484612,-4.176495283356143,-0.3836595456746857,-3.9346956770976744,-4.29947829746092,-0.5632093889985523,0.291713168763904,-0.4728677326782636
ENSG00000185716,,protein_coding,2.667104792639901,2.617920582993963,2.554939909661171,3.549120100166582,3.1843374798033373,3.283245352747992,2.7246725760400103,3.004541626888089
ENSG00000185721,,protein_coding,4.52257830972192,4.202883083715119,4.392444442398479,4.849939168459846,4.204347440534831,4.687635607827327,4.929260186497144,5.012336987642045
ENSG00000185722,,protein_coding,7.118493820947191,7.086186859006022,7.313539720185975,7.669394184371505,7.155335051051605,7.895906920919122,7.2062342054968,7.505398918882065
ENSG00000185728,,protein_coding,6.661254703358774,7.172785945461309,6.935259799340338,6.860532288931004,6.829160515391679,6.952490449285491,6.79488840924767,6.861752321906119
ENSG00000185730,,protein_coding,3.09505817980403,2.6938694362272617,3.040366736831413,2.1738287796804947,3.2003675896222865,2.896222229638745,2.5159780044331224,2.697057268764049
ENSG00000185736,,protein_coding,-1.2819112786412938,-4.176495283356143,-4.290550141283204,-3.9346956770976744,-1.1295532960186068,-0.5632093889985523,-2.0302149261234583,-5.330848727805836
ENSG00000185745,,protein_coding,4.26584014298279,7.55439936318553,2.6981345454889616,9.083678393723343,4.304148047525272,9.784071259241875,4.191591867017049,8.299077025201937
