donorID,cell,symbol,ENSEMBLID,batch,cryo.rank.pos,fresh.rank.pos,cryo.rank.neg,fresh.rank.neg,cryo.FC,fresh.FC
AM21,AM,,ENSG00000003137,same,6441,3999,7165,9341,0.03582919032127485,0.3558544641855299
AM18,AM,,ENSG00000003147,different,12119,9729,2261,4651,-0.8182331185847338,-0.18499760084270989
AM21,AM,,ENSG00000003147,same,11810,7007,2570,7373,-0.7393557260754218,0.09452638030213922
AM18,AM,,ENSG00000003249,different,13941,4558,380,9694,-3.4250987214136286,0.15879781695492
AM21,AM,,ENSG00000003249,same,1363,14229,12924,142,1.6207916910424314,-4.598341846201345
AM18,AM,,ENSG00000003393,different,9623,7194,4757,7186,-0.2075233163749557,-0.0037231484041297946
AM21,AM,,ENSG00000003393,same,7672,12276,6708,2104,-0.01520392928833747,-0.9671149119024962
AM18,AM,,ENSG00000003400,different,5552,1554,8828,12826,0.22827643448471058,0.788712638152453
AM21,AM,,ENSG00000003400,same,1805,3946,12575,10434,1.2434062703470472,0.36560244073709125
AM18,AM,,ENSG00000003402,different,2190,1435,12190,12945,0.6817761777918223,0.8625463210985673
AM21,AM,,ENSG00000003402,same,1607,1508,12773,12872,1.4256041198598064,1.3568709477341603
AM18,AM,,ENSG00000003436,different,2074,3267,12306,11113,0.7203157801604112,0.2976052678997849
AM21,AM,,ENSG00000003436,same,2820,11197,11560,3183,0.6575604245785791,-0.5581885789620902
AM18,AM,,ENSG00000003509,different,11654,5706,2726,8674,-0.6276626767968954,0.09454846002097694
AM21,AM,,ENSG00000003509,same,11484,6666,2896,7713,-0.6328721919502986,0.13588878024362172
AM18,AM,,ENSG00000003756,different,7051,3769,7329,10611,0.07795555778373675,0.2310669647646275
AM21,AM,,ENSG00000003756,same,5172,7326,9208,7054,0.1850982584068257,0.0538592534095681
AM18,AM,,ENSG00000003987,different,1838,2861,12542,11519,0.8386084263493008,0.36281170897651327
AM21,AM,,ENSG00000003987,same,1090,12865,13278,1513,2.1513064077412105,-1.3139969341221396
AM18,AM,,ENSG00000003989,different,830,31,13443,14349,1.8603034974486197,5.886718271518118
AM21,AM,,ENSG00000003989,same,6441,3999,7165,9341,0.03582919032127485,0.3558544641855299
AM18,AM,,ENSG00000004059,different,3265,5564,11115,8816,0.4229771741660002,0.10330270436321687
AM21,AM,,ENSG00000004059,same,8841,5909,5539,8471,-0.15659016673497117,0.2275303672099902
AM18,AM,,ENSG00000004139,different,12114,13317,2266,1063,-0.8172251220086091,-0.8997770092305393
AM21,AM,,ENSG00000004139,same,12255,9065,2125,5314,-0.8987948008267015,-0.1726947276303603
AM18,AM,,ENSG00000004142,different,5625,6317,8755,8063,0.22035358485481282,0.05234936045648109
AM21,AM,,ENSG00000004142,same,7924,10121,6456,4259,-0.04801294861899841,-0.32799550488500984
AM18,AM,,ENSG00000004399,different,7088,11811,7292,2569,0.07510350625704376,-0.4326175443667353
AM21,AM,,ENSG00000004399,same,8986,9980,5394,4400,-0.17645435213772664,-0.30799097590785607
AM18,AM,,ENSG00000004455,different,3509,5392,10871,8988,0.379863009538008,0.11570899467862361
AM21,AM,,ENSG00000004455,same,2883,8508,11497,5872,0.640302514879874,-0.09515727751568548
AM18,AM,,ENSG00000004468,different,134,342,14246,14038,4.84012561551099,2.512005078330141
AM21,AM,,ENSG00000004468,same,340,816,14040,13564,4.281418461695659,2.670505393373966
AM18,AM,,ENSG00000004478,different,3178,8301,11202,6079,0.4386338894683357,-0.07575055799350139
AM21,AM,,ENSG00000004478,same,7643,7269,6737,7111,-0.012148058550812024,0.060421405765018754
AM18,AM,,ENSG00000004487,different,3782,5135,10598,9245,0.3377321790275465,0.13465363578160972
AM21,AM,,ENSG00000004487,same,4631,7341,9749,7039,0.25829663675152137,0.05198870726119864
AM18,AM,,ENSG00000004534,different,9711,5792,4669,8588,-0.21945908512013812,0.08742230347289226
AM21,AM,,ENSG00000004534,same,9681,8315,4699,6065,-0.2753288203102322,-0.06816286640591862
AM18,AM,,ENSG00000004660,different,13502,13722,878,658,-2.148396197501765,-1.2281015917915288
AM21,AM,,ENSG00000004660,same,13475,13693,905,687,-2.092011852449785,-2.632072703513896
AM18,AM,,ENSG00000004700,different,7242,4462,7138,9918,0.061437065572756744,0.16365742589804633
AM21,AM,,ENSG00000004700,same,4072,6715,10308,7665,0.3410381553053927,0.12908360233850757
AM18,AM,,ENSG00000004766,different,7234,7271,7146,7109,0.06202533051017767,-0.008710697308403681
AM21,AM,,ENSG00000004766,same,3424,11613,10956,2767,0.4751414357231347,-0.6835938325681212
AM18,AM,,ENSG00000004776,different,4368,1107,9221,13267,0.27534099672746315,1.0916836210963834
AM21,AM,,ENSG00000004776,same,918,3999,13361,9341,2.3577572852086375,0.3558544641855299
AM18,AM,,ENSG00000004777,different,14286,13706,83,673,-4.76905312263099,-1.2197138062988098
AM21,AM,,ENSG00000004777,same,6441,13910,7165,413,0.03582919032127485,-3.3445852539555623
AM18,AM,,ENSG00000004779,different,8859,8372,5521,6008,-0.10741578774320182,-0.08093595759828176
AM21,AM,,ENSG00000004779,same,3130,9293,11250,5087,0.5558580433303684,-0.20178234882571733
AM18,AM,,ENSG00000004799,different,13584,13999,796,381,-2.3990400600607193,-1.7048564449130854
AM21,AM,,ENSG00000004799,same,13824,13522,556,858,-2.8363625868838005,-2.222966593507719
AM18,AM,,ENSG00000004809,different,14349,1193,27,13187,-5.397084345244032,1.0231427175973538
AM21,AM,,ENSG00000004809,same,1363,1799,12924,12566,1.6207916910424314,1.092820058351736
AM18,AM,,ENSG00000004838,different,14325,13254,48,1124,-5.0100612221347856,-0.8642857961581212
AM21,AM,,ENSG00000004838,same,13953,12621,380,1629,-3.423602428316023,-1.2291080365356262
AM18,AM,,ENSG00000004846,different,5360,3069,9020,11311,0.2479905085825087,0.32816804237005837
