cyto,ID,Media,Stim,Wells,Replicate,OD Values,Concentration,Adj. Conc.,Notes
TNFa,AM17,20% FBS,MOI 2.5,B3,2,1.552,504.366,5043.66,
TNFa,AM17,20% FBS,MOI 2.5,C3,3,1.458,452.961,4529.61,
TNFa,AM17,20% FBS,Media,D3,1,0.008,NA,0,
TNFa,AM17,20% FBS,Media,E3,2,0.001,NA,0,
TNFa,AM17,20% FBS,Media,F3,3,0.005,NA,0,
TNFa,AM18,10% autologous,MOI 2.5,A4,1,1.552,504.424,5044.24,
TNFa,AM18,10% autologous,MOI 2.5,B4,2,1.6,533.892,5338.92,
TNFa,AM18,10% autologous,MOI 2.5,C4,3,1.686,591.68,5916.8,
TNFa,AM18,10% autologous,Media,D4,1,0.167,39.007,390.07,
TNFa,AM18,10% autologous,Media,E4,2,0.262,67.514,675.14,
TNFa,AM18,10% autologous,Media,F4,3,0.004,NA,0,
TNFa,AM18,10% FBS,MOI 2.5,A5,1,1.567,513.604,5136.04,
TNFa,AM18,10% FBS,MOI 2.5,B5,2,1.678,586.398,5863.98,
TNFa,AM18,10% FBS,MOI 2.5,C5,3,1.761,650.35,6503.5,
TNFa,AM18,10% FBS,Media,D5,1,0.05,NA,0,
TNFa,AM18,10% FBS,Media,E5,2,0.007,NA,0,
TNFa,AM18,10% FBS,Media,F5,3,0.007,NA,0,
TNFa,AM18,20% FBS,MOI 2.5,A6,1,1.443,445.599,4455.99,
TNFa,AM18,20% FBS,MOI 2.5,B6,2,1.205,341.082,3410.82,
TNFa,AM18,20% FBS,MOI 2.5,C6,3,1.393,421.102,4211.02,
TNFa,AM18,20% FBS,Media,D6,1,0.007,NA,0,
TNFa,AM18,20% FBS,Media,E6,2,0.004,NA,0,
TNFa,AM18,20% FBS,Media,F6,3,-0.001,NA,0,
